"observed_on","url","latitude","longitude","scientific_name","Year","Month"
2024-05-09,"https://www.inaturalist.org/observations/214580989",45.51533038,-73.6735549,"New_observation_inat","2024","May"
2024-05-09,"https://www.inaturalist.org/observations/214623615",45.5158537592,-73.6732142333,"New_observation_inat","2024","May"
2024-05-16,"https://www.inaturalist.org/observations/216279211",45.5223472222,-73.6010972222,"New_observation_inat","2024","May"
2024-05-20,"https://www.inaturalist.org/observations/217118839",45.5157214893,-73.5888209939,"New_observation_inat","2024","May"
2024-05-23,"https://www.inaturalist.org/observations/217900511",45.445785,-74.1925433333,"New_observation_inat","2024","May"
2024-05-25,"https://www.inaturalist.org/observations/218143382",45.43850989,-73.71966597,"New_observation_inat","2024","May"
2024-05-31,"https://www.inaturalist.org/observations/219725427",45.6283372546,-75.0218653225,"New_observation_inat","2024","May"
2024-06-02,"https://www.inaturalist.org/observations/220245808",45.5901444444,-73.5625222222,"New_observation_inat","2024","June"
2024-06-08,"https://www.inaturalist.org/observations/221452452",45.5956587225,-73.6066983038,"New_observation_inat","2024","June"
2024-06-11,"https://www.inaturalist.org/observations/223678827",45.5989262836,-73.4575016429,"New_observation_inat","2024","June"
2024-06-12,"https://www.inaturalist.org/observations/222204772",46.8016083333,-71.229805,"New_observation_inat","2024","June"
